CommBench Pro Test Report
Generated: 2026-07-10T16:17:36.680
Mode: TCP Network
Config: 172.16.32.231:10160

Summary
Total Sent: 394
Success Received: 394
Lost Packets: 0
Success Rate: 100.00%
Average Elapsed: 40.39 ms
Min Elapsed: 13 ms
Max Elapsed: 108 ms

Packet Details
ID,SentAt,ReceivedAt,ElapsedMs,Status,TX,RX
106,2026-07-10T16:12:48.247,2026-07-10T16:12:48.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
107,2026-07-10T16:12:49.243,2026-07-10T16:12:49.265,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
108,2026-07-10T16:12:50.244,2026-07-10T16:12:50.266,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
109,2026-07-10T16:12:51.242,2026-07-10T16:12:51.268,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
110,2026-07-10T16:12:52.246,2026-07-10T16:12:52.270,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
111,2026-07-10T16:12:53.245,2026-07-10T16:12:53.269,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
112,2026-07-10T16:12:54.245,2026-07-10T16:12:54.267,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
113,2026-07-10T16:12:55.245,2026-07-10T16:12:55.269,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
114,2026-07-10T16:12:56.247,2026-07-10T16:12:56.270,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
115,2026-07-10T16:12:57.248,2026-07-10T16:12:57.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
116,2026-07-10T16:12:58.248,2026-07-10T16:12:58.275,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
117,2026-07-10T16:12:59.247,2026-07-10T16:12:59.275,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
